,id,code,label
106,106,"FileAST FuncDef Decl FuncDecl main int Compound Decl n int Decl m int Decl k int Decl sum int 0 Decl ArrayDecl a int 15 Decl ArrayDecl b int 15 FuncCall scanf ExprList ""%d%d%d"" & n & m & k For DeclList Decl i int 0 < i k ++ i += sum FuncCall abs ExprList - ArrayRef a i ArrayRef b i FuncCall printf ExprList ""%d\n"" / sum 2 End",0
628,628,"FileAST Typedef LL long FuncDef Decl FuncDecl main int Compound Decl y int Decl m int Decl d int While ~ FuncCall scanf ExprList ""%d/%d/%d"" & y & m & d Compound Decl k int Decl leap int Decl ArrayDecl ArrayDecl day int 13 2 InitList InitList 0 31 28 31 30 31 30 31 31 30 31 30 31 InitList 0 31 29 31 30 31 30 31 31 30 31 30 31 = leap || && == % y 4 0 != % y 100 0 == % y 400 0 For = k 1 < k m ++ k Compound = d + d ArrayRef ArrayRef day leap k End FuncCall printf ExprList ""%d\n"" d End Return 0 End",1
750,750,,1
576,576,FileAST FuncDef Decl FuncDecl main int Compound Decl x int Decl y int Decl i int Decl l2x int Decl l2y int Decl ArrayDecl xx int 10 Decl ArrayDecl yy int 10 >> >> cin x y = l2x / FuncCall log ExprList x FuncCall log ExprList 2 = l2y / FuncCall log ExprList y FuncCall log ExprList 2 If == x 8 = l2x 3 If == y 8 = l2y 3 = ArrayRef xx l2x - x FuncCall pow ExprList 2 l2x = ArrayRef yy l2y - y FuncCall pow ExprList 2 l2y For = i - l2y 1 >= i 0 -- i = ArrayRef yy i / ArrayRef yy + i 1 2 = i l2x If > l2x l2y = i l2y Return 0 End,1
37,37,FileAST FuncDef Decl FuncDecl main int Compound Decl k int Decl n int Decl m int Decl i int Decl j int Decl s int Decl ArrayDecl ArrayDecl a int 100 100 Decl PtrDecl ArrayDecl p int 100 Decl ArrayDecl sum int 100 InitList 0 >> cin k For = s 0 < s k ++ s Compound = p a >> >> cin n m For = i 0 < i n ++ i Compound For = j 0 < j m ++ j >> cin * + * + p i j End For = i 0 < i n ++ i Compound If || == i 0 == i - n 1 For = j 0 < j m ++ j = ArrayRef sum s + ArrayRef sum s * + * + p i j = ArrayRef sum s + + ArrayRef sum s * * + p i * - + * + p i m 1 End End Return 0 End,0
934,934,,1
1036,1036,,1
660,660,"FileAST Decl MAXN int 10005 Decl ArrayDecl f int maxn Decl ArrayDecl c int 505 Decl ArrayDecl w int 505 FuncDef Decl FuncDecl ParamList Decl a int Decl b int min int Compound Return TernaryOp < a b a b End FuncDef Decl FuncDecl main int Compound Decl t int Decl E int Decl F int Decl n int FuncCall scanf ExprList ""%d"" & t While -- t Compound FuncCall scanf ExprList ""%d%d"" & e & f FuncCall scanf ExprList ""%d"" & n For DeclList Decl i int 0 < i maxn ++ i = ArrayRef f i 1e9 = ArrayRef f e 0 If == ArrayRef f f 1e9 FuncCall printf ExprList ""This is impossible.\n"" FuncCall printf ExprList ""The minimum amount of money in the piggy-bank is %d.\n"" ArrayRef f f End End",1
571,571,"FileAST Decl ArrayDecl a int 50 Decl FuncDecl init void FuncDef Decl FuncDecl main int Compound Decl n int Decl t int FuncCall scanf ExprList ""%d"" & n FuncCall init For DeclList Decl i int 1 <= i n ++ i Compound FuncCall scanf ExprList ""%d"" & t FuncCall printf ExprList ""Scenario #%d:\n"" i FuncCall printf ExprList ""%d\n\n"" ArrayRef a t End End",1
198,198,FileAST Decl ArrayDecl ArrayDecl dp long 1001 1001 FuncDef Decl FuncDecl main int Compound Decl n int Decl m int >> >> cin n m = ArrayRef ArrayRef dp 1 0 1 For DeclList Decl i int 1 <= i n ++ i Compound For DeclList Decl j int 1 <= j m ++ j Compound = ArrayRef ArrayRef dp i j % + ArrayRef ArrayRef dp - i 1 j ArrayRef ArrayRef dp i - j 1 1000000007 End End << << cout ArrayRef ArrayRef dp n m endl Return 0 End,0
980,980,,1
55,55,"FileAST FuncDef Decl FuncDecl main int Compound Decl y int Decl m int Decl d int Decl i int Decl x int 0 Decl ArrayDecl mon int 12 InitList 31 28 31 30 31 30 31 31 30 31 30 31 FuncCall scanf ExprList ""%d%d%d"" & y & m & d If && == % y 4 0 != % y 100 0 Compound = ArrayRef mon 1 29 End If == % y 400 0 Compound = ArrayRef mon 1 29 End = ArrayRef mon 1 28 For = i 0 < i - m 1 ++ i Compound += x ArrayRef mon i End = x + x d FuncCall printf ExprList ""%d\n"" x Return 0 End",0
921,921,,1
325,325,FileAST FuncDef Decl FuncDecl main int Compound Decl year int Decl month int Decl day int Decl total int 0 Decl i int Decl ArrayDecl ArrayDecl mon int 13 2 InitList InitList 0 31 28 31 30 31 30 31 31 30 31 30 31 InitList 0 31 29 31 30 31 30 31 31 30 31 30 31 >> >> >> cin year month day If || && == % year 4 0 != % year 100 0 == % year 400 0 Compound += total day End Compound For = i 1 < i month ++ i += total ArrayRef ArrayRef mon 0 i += total day End << << cout total endl Return 0 End,0
730,730,"FileAST FuncDef Decl FuncDecl main int Compound Decl k int FuncCall scanf ExprList ""%d"" & k Decl ArrayDecl m int 100 Decl ArrayDecl n int 100 Decl ArrayDecl he int 100 Decl ArrayDecl ArrayDecl a int 100 100 Decl i int Decl j int Decl l int Decl total int For = i 0 < i - k 1 ++ i Compound FuncCall printf ExprList ""%d\n"" ArrayRef he i End FuncCall printf ExprList ""%d"" ArrayRef he - k 1 Return 0 End",1
402,402,FileAST FuncDef Decl FuncDecl main int Compound Decl k int Decl m int Decl n int Decl ArrayDecl ArrayDecl a int 100 100 Decl i int Decl j int Decl sum int >> cin k While > k 0 Compound >> >> cin m n If && > m 1 > n 1 Compound = sum 0 = sum - - - - sum * * a * - + * - + a m 1 n 1 * - + * a n 1 * * - + a m 1 << << cout sum endl End If && == m 1 == n 1 Compound = sum 0 = sum * * a << << cout sum endl End If && == m 1 > n 1 Compound = sum 0 << << cout sum endl End If && == n 1 > m 1 Compound = sum 0 For = i 0 < i m ++ i Compound += sum * * + a i End << << cout sum endl End -- k End End,0
138,138,"FileAST Decl ArrayDecl days int 13 InitList 0 31 28 31 30 31 30 31 31 30 31 30 31 FuncDef Decl FuncDecl ParamList Decl year int isleapyear int Compound Return || && == % year 4 0 != % year 100 0 == % year 400 0 End FuncDef Decl FuncDecl main int Compound Decl year int Decl month int Decl day int FuncCall scanf ExprList ""%d %d %d"" & year & month & day Decl n int 0 Decl i int For = i 1 < i month ++ i Compound += n ArrayRef days i End += n day If && > month 2 FuncCall isleapyear ExprList year ++ n FuncCall printf ExprList ""%d"" n End",0
1044,1044,,1
44,44,"FileAST FuncDef Decl FuncDecl main int Compound Decl n int Decl j int Decl i int Decl k int Decl m int Decl a int Decl t int Decl all int Decl sum int Decl ArrayDecl ArrayDecl s int 500 500 FuncCall scanf ExprList ""%d"" & all = m 0 For = t 0 < t all ++ t Compound FuncCall scanf ExprList ""%d %d"" & m & n = sum 0 For = i 0 < i m ++ i For = j 0 < j n ++ j Compound FuncCall scanf ExprList ""%d"" & ArrayRef ArrayRef s i j += sum ArrayRef ArrayRef s i j End If || == m 1 == n 1 FuncCall printf ExprList ""%d\n"" sum Compound For = i 1 <= i - m 2 ++ i For = j 1 <= j - n 2 ++ j = sum - sum ArrayRef ArrayRef s i j FuncCall printf ExprList ""%d\n"" sum End End Return 0 End",0
1025,1025,,1
791,791,,1
66,66,"FileAST Decl mod int + 1e9 7 Decl maxn int 1e7 Decl ArrayDecl str char maxn Decl n int Decl L int Decl ArrayDecl p int maxn Decl ArrayDecl s char maxn Decl ArrayDecl ArrayDecl data int 2000100 5 Decl FuncDecl init void Decl FuncDecl manacher void Decl FuncDecl ParamList Decl op int Decl l int Decl r int Decl num int add void FuncDef Decl FuncDecl main int Compound While ~ FuncCall scanf ExprList ""%s"" s Compound FuncCall init FuncCall manacher For DeclList Decl i int - l 1 >= i 1 -- i Compound FuncCall add ExprList 1 + - i ArrayRef p i 1 i i FuncCall add ExprList 2 + - i ArrayRef p i 1 i 1 End Decl ans int 0 FuncCall printf ExprList ""%d\n"" ans End Return 0 End",0
250,250,FileAST Typedef ll long Decl w int Decl num int Decl len int Decl N int + 200000 10 Decl ArrayDecl a int n Decl ArrayDecl b int n FuncDef Decl FuncDecl ParamList Decl n int check int Compound FuncCall sort ExprList + b 1 + + b 1 n Decl cnt int 0 = ArrayRef b 0 0 = ArrayRef b + n 1 + w 1 For DeclList Decl i int 0 <= i n ++ i Compound += cnt / - ArrayRef b + i 1 ArrayRef b i + len 1 End If >= cnt num Return 1 Return 0 End Decl FuncDecl main int,0
829,829,,1
11,11,FileAST FuncDef Decl FuncDecl main int Compound Decl n int Decl a int Decl b int Decl i int Decl j int Decl sum int Decl ArrayDecl ArrayDecl c int 100 100 >> cin n While > n 0 Compound >> >> cin a b = sum 0 Decl PtrDecl ArrayDecl p int 100 = p c For = i 0 < i b ++ i += sum * + * p i << << cout sum endl -- n End Return 0 End,0
317,317,"FileAST Typedef ll long Decl maxn int 10000010 Decl mod int + 1e9 7 Decl ArrayDecl fac ll maxn Decl ArrayDecl inv ll maxn FuncDef Decl FuncDecl ParamList Decl n int Decl m int C ll Compound Return % * % * ArrayRef fac n ArrayRef inv m mod ArrayRef inv - n m mod End FuncDef Decl FuncDecl ParamList Decl n int Decl m int A ll Compound Return % * ArrayRef fac n ArrayRef inv - n m mod End Decl n int Decl ArrayDecl b ll maxn FuncDef Decl FuncDecl main int Compound FuncCall scanf ExprList ""%d"" & n = ArrayRef b 0 1 = ArrayRef b 1 2 Decl ans ll 0 = ArrayRef fac 0 1 For DeclList Decl i int 1 <= i n ++ i Compound = ArrayRef fac i % * ArrayRef fac - i 1 i mod End = ArrayRef inv 1 1 = ArrayRef inv 0 1 FuncCall printf ExprList ""%lld\n"" % ans mod Return 0 End",0
997,997,,1
599,599,"FileAST FuncDef Decl FuncDecl main int Compound Decl x int Decl y int Decl l1 int 0 Decl l2 int 0 Decl i int Decl j int Decl k int 0 FuncCall scanf ExprList ""%d%d"" & x & y Decl ArrayDecl s1 int 10 InitList 0 Decl ArrayDecl s2 int 10 InitList 0 Decl FuncDecl ParamList Decl a int level int = l1 FuncCall level ExprList x = l2 FuncCall level ExprList y = ArrayRef s1 0 x = ArrayRef s2 0 y For = i 1 < i l1 ++ i Compound = ArrayRef s1 i / ArrayRef s1 - i 1 2 End FuncCall printf ExprList ""%d\n"" k Return 0 End Decl FuncDecl ParamList Decl a int level int",1
305,305,"FileAST FuncDef Decl FuncDecl main int Compound Decl ArrayDecl sum int 100 InitList 0 Decl i int Decl j int Decl k int Decl h int Decl ArrayDecl a int 100 Decl ArrayDecl b int 100 Decl ArrayDecl ArrayDecl juzhen int 100 100 FuncCall scanf ExprList ""%d"" & k For = h 0 < h k ++ h Compound FuncCall printf ExprList ""%d\n"" ArrayRef sum h End Return 0 End",0
819,819,,1
318,318,"FileAST FuncDef Decl FuncDecl main int Compound Decl sum double 0 Decl temp double For DeclList Decl i int 0 < i 12 ++ i Compound FuncCall scanf ExprList ""%lf"" & temp += sum temp End FuncCall printf ExprList ""$%.2lf\n"" / sum 12.0 End",0
177,177,"FileAST Decl N int 1010 Typedef LL long Decl mod long 1000000007 Decl ArrayDecl ArrayDecl dp LL n n Decl ArrayDecl ArrayDecl sum1 LL n n Decl ArrayDecl ArrayDecl sum2 LL n n Decl ArrayDecl a int n Decl ArrayDecl b int n FuncDef Decl FuncDecl main int Compound Decl n int Decl m int While ~ FuncCall scanf ExprList ""%d%d"" & n & m Compound For DeclList Decl i int 1 <= i m ++ i FuncCall scanf ExprList ""%d"" & ArrayRef b i FuncCall printf ExprList ""%I64d\n"" ArrayRef ArrayRef dp n m End Return 0 End",0
93,93,"FileAST Typedef ll long Decl maxn int 5000010 Decl mod int 1000000007 Decl n int Decl m int Decl num int Decl ArrayDecl l ll maxn Decl ArrayDecl j ll maxn Decl ArrayDecl k ll maxn Decl ArrayDecl x ll maxn Decl ArrayDecl y ll maxn Decl ArrayDecl z ll maxn FuncDef Decl FuncDecl main int Compound FuncCall scanf ExprList ""%d"" & n For DeclList Decl i int 1 <= i n ++ i Compound FuncCall scanf ExprList ""%d%d%d"" & ArrayRef l i & ArrayRef j i & ArrayRef k i = ArrayRef x i - ArrayRef l i ArrayRef j i = ArrayRef y i - ArrayRef j i ArrayRef k i = ArrayRef z i - ArrayRef k i ArrayRef l i End Decl ans ll 0 FuncCall sort ExprList + x 1 + + x n 1 FuncCall sort ExprList + y 1 + + y n 1 FuncCall sort ExprList + z 1 + + z n 1 FuncCall printf ExprList ""%lld\n"" % * ans 500000004 mod Return 0 End",0
748,748,,1
96,96,"FileAST FuncDef Decl FuncDecl main int Compound Decl i int Decl n int Decl j int Decl k int Decl ArrayDecl a int 13 InitList 0 31 28 31 30 31 30 31 31 30 31 30 31 Decl sum int 0 FuncCall scanf ExprList ""%d %d %d"" & n & j & k For = i 0 <= i - j 1 ++ i Compound = sum + sum ArrayRef a i End If || == % n 400 0 && == % n 4 0 != % n 100 0 Compound If <= j 2 Compound = sum + sum k End Compound = sum + + sum 1 k End End Compound = sum + sum k End FuncCall printf ExprList ""%d"" sum FuncCall getchar FuncCall getchar FuncCall getchar End",0
422,422,"FileAST FuncDef Decl FuncDecl main int Compound Decl y int Decl m int Decl d int Decl i int Decl sum int Decl ArrayDecl a int 12 InitList 31 0 31 30 31 30 31 31 30 31 30 31 FuncCall scanf ExprList ""%d %d %d"" & y & m & d If || && == % y 4 0 != % y 100 0 == % y 400 0 = ArrayRef a 1 29 = ArrayRef a 1 28 = sum 0 For = i 0 < i m ++ i = sum + sum ArrayRef a i = sum + - sum ArrayRef a - i 1 d FuncCall printf ExprList ""%d"" sum FuncCall getchar FuncCall getchar Return 0 End",0
351,351,FileAST FuncDef Decl FuncDecl ParamList Decl n int Decl m int bianyuan int Compound Decl ArrayDecl ArrayDecl juzhen int 100 100 Decl i int Decl j int Decl result int = result 0 For = j 0 < j m ++ j Compound += result ArrayRef ArrayRef juzhen - n 1 j End Return result End Decl FuncDecl main int,0
160,160,"FileAST Decl ArrayDecl a char 28 InitList "" ABCDEFGHIJKLMNOPQRSTUVWXYZ"" FuncDef Decl FuncDecl ParamList Decl PtrDecl s char convert int Compound Decl sum int 0 For DeclList Decl i int 0 < i 5 ++ i Compound *= sum 2 += sum - ArrayRef s i '0' End Return sum End Decl FuncDecl ParamList Decl PtrDecl sss char Decl n int Decl m int convert_again void Decl FuncDecl main int",0
535,535,"FileAST Decl N int 110 Decl ArrayDecl ArrayDecl a int n n FuncDef Decl FuncDecl main int Compound Decl i int Decl j int Decl k int Decl x int Decl m int Decl n int FuncCall scanf ExprList ""%d"" & x While -- x Compound FuncCall memset ExprList a 0 sizeof a FuncCall scanf ExprList ""%d%d"" & m & n Decl sum int 0 If == m 1 Compound For = i 0 < i n ++ i += sum ArrayRef ArrayRef a 0 i End If == n 1 Compound End Compound End FuncCall printf ExprList ""%d\n"" sum End Return 0 End",1
546,546,"FileAST FuncDef Decl FuncDecl main int Compound Decl y int 0 Decl m int 0 Decl d int 0 Decl ArrayDecl dd int 12 InitList 31 28 31 30 31 30 31 31 30 31 30 31 Decl n int 0 Decl i int FuncCall scanf ExprList ""%d%d%d"" & y & m & d If || == % y 400 0 && == % y 4 0 != % y 100 0 Compound = ArrayRef dd 1 29 End For = i 0 < i - m 1 ++ i Compound = n + n ArrayRef dd i End = n + n d FuncCall printf ExprList ""%d"" n Return 0 End",1
796,796,,1
749,749,,1
836,836,,1
272,272,"FileAST Typedef LL long FuncDef Decl FuncDecl main int Compound Decl i int Decl t int Decl n int Decl ArrayDecl a double 20 FuncCall scanf ExprList ""%d"" & t = ArrayRef a 1 0 = ArrayRef a 2 1 While -- t Compound FuncCall scanf ExprList ""%d"" & n For = i 1 <= i n ++ i Compound /= ArrayRef a n i End FuncCall printf ExprList ""%.2lf%c\n"" * ArrayRef a n 100 '%' End Return 0 End",0
466,466,"FileAST FuncDef Decl FuncDecl main int Compound Decl k int Decl n int Decl m int Decl ArrayDecl ArrayDecl num int 100 100 Decl sum int >> cin k << cout endl For DeclList Decl a int 0 < a k ++ a Compound >> >> cin m n = sum 0 For DeclList Decl i int 0 < i m ++ i Compound For DeclList Decl j int 0 < j n ++ j Compound >> cin ArrayRef ArrayRef num i j << cout "" "" If || || || == i 0 == i - m 1 == j 0 == j - n 1 Compound += sum ArrayRef ArrayRef num i j End End << cout endl End << << cout sum endl End Return 0 End",0
565,565,"FileAST Typedef ll long Decl tot int 1 Decl n int Decl m int Decl q int Decl ArrayDecl s int 15 Decl ArrayDecl t int 15 Decl ArrayDecl l int 15 Decl ArrayDecl r int 15 Decl ArrayDecl ArrayDecl dis int 22 22 Decl ArrayDecl ArrayDecl dp int 22 60010 FuncDef Decl FuncDecl main int Compound FuncCall scanf ExprList ""%d%d%d"" & n & m & q FuncCall memset ExprList dis 63 sizeof dis For DeclList Decl i int 1 <= i q ++ i Compound FuncCall scanf ExprList ""%d%d%d%d"" & ArrayRef s i & ArrayRef t i & ArrayRef l i & ArrayRef r i *= tot 3 End FuncCall memset ExprList dp 63 sizeof dp = ArrayRef ArrayRef dp 0 1 0 Decl ans int 0 FuncCall printf ExprList ""%d\n"" ans Return 0 End",1
573,573,"FileAST FuncDef Decl FuncDecl main int Compound Decl i int Decl j int Decl k int Decl p int Decl ArrayDecl ArrayDecl a int 100 100 Decl ArrayDecl s int 100 InitList 0 Decl m int Decl n int FuncCall scanf ExprList ""%d"" & k FuncCall printf ExprList ""%d"" ArrayRef s 1 For = p 2 <= p k ++ p Compound FuncCall printf ExprList ""\n%d"" ArrayRef s p End Return 0 End",1
856,856,,1
780,780,,1
590,590,FileAST Typedef ll long Decl maxn int + 5e6 10 Decl ArrayDecl ArrayDecl dis int 123 123 Decl ArrayDecl x int 123 Decl ArrayDecl w int 123 Decl ArrayDecl t int 123 Decl ArrayDecl dp ll 1234 Decl n int Decl m int Decl T int FuncDef Decl FuncDecl main int Compound >> >> >> cin n m t FuncCall memset ExprList dis 31 sizeof dis For DeclList Decl i int 0 <= i n ++ i = ArrayRef ArrayRef dis i i 0 FuncCall memset ExprList dp 0 sizeof dp Decl cost int 0 << << cout ArrayRef dp t endl Return 0 End,1
562,562,FileAST FuncDef Decl FuncDecl main int Compound Decl ArrayDecl Day1 int 12 InitList 31 28 31 30 31 30 31 31 30 31 30 31 Decl ArrayDecl Day2 int 12 InitList 31 29 31 30 31 30 31 31 30 31 30 31 Decl year int Decl month int Decl day int Decl sumday int 0 Decl i int Decl j int >> >> >> cin year month day If || == % year 400 0 && == % year 4 0 != % year 100 0 = j 1 = j 0 If == j 1 Compound If == month 1 << << cout day endl If > month 1 Compound = sumday + sumday day << << cout sumday endl End End If == j 0 Compound If == month 1 << << cout day endl If > month 1 Compound For = i 0 < i - month 1 ++ i Compound = sumday + sumday ArrayRef day1 i End = sumday + sumday day << << cout sumday endl End End Return 0 End,1
617,617,"FileAST FuncDef Decl FuncDecl main int Compound Decl ArrayDecl a int 11 Decl y int Decl m int Decl d int Decl i int Decl leap int Decl total int 0 FuncCall scanf ExprList ""%d%d%d"" & y & m & d If == % y 4 0 Compound If == % y 100 0 Compound If == % y 400 0 = leap 1 = leap 0 End = leap 1 End = leap 0 If leap = ArrayRef a 1 29 = ArrayRef a 1 28 = ArrayRef a 0 31 = ArrayRef a 2 31 = ArrayRef a 3 30 = ArrayRef a 4 31 = ArrayRef a 5 30 = ArrayRef a 6 31 = ArrayRef a 7 31 = ArrayRef a 8 30 = ArrayRef a 9 31 = ArrayRef a 10 30 = ArrayRef a 11 31 For = i 0 < i - m 1 ++ i += total ArrayRef a i += total d FuncCall printf ExprList ""%d"" total Return 0 End",1
963,963,,1
629,629,"FileAST Decl ArrayDecl ArrayDecl days_of_month int 12 2 InitList InitList 31 28 31 30 31 30 31 31 30 31 30 31 InitList 31 29 31 30 31 30 31 31 30 31 30 31 Decl FuncDecl ParamList Decl year int is_leap_year int FuncDef Decl FuncDecl main int Compound Decl year int Decl month int Decl day int FuncCall scanf ExprList ""%d%d%d"" & year & month & day Decl index int FuncCall is_leap_year ExprList year Decl days int 0 For DeclList Decl i int 0 < i - month 1 ++ i += days ArrayRef ArrayRef days_of_month index i += days day FuncCall printf ExprList ""%d"" days End",1
608,608,FileAST FuncDef Decl FuncDecl main int Compound Decl k int Decl m int Decl n int Decl i int Decl j int Decl ArrayDecl ArrayDecl a int 100 100 Decl sum int 0 >> cin k While >> >> cin m n Compound If && >= m 3 >= n 3 Compound For = i 1 < i - m 1 ++ i = sum + + sum ArrayRef ArrayRef a i 0 ArrayRef ArrayRef a i - n 1 End Compound End << << cout sum endl = sum 0 End Return 0 End,1
67,67,FileAST FuncDef Decl FuncDecl main int Compound Decl k int Decl n int Decl m int Decl sum int 0 Decl i int Decl j int Decl p int Decl ArrayDecl ArrayDecl a int 100 100 >> cin k While > k 0 Compound >> >> cin m n For = i 0 < i m ++ i Compound For = j 0 < j n ++ j Compound >> cin ArrayRef ArrayRef a i j End End If && == n 1 == m 1 Compound << << cout ArrayRef ArrayRef a 0 0 endl End If && == n 1 > m 1 Compound << << cout sum endl = sum 0 End If && > n 1 == m 1 Compound << << cout sum endl = sum 0 End Compound -= sum + + + ArrayRef ArrayRef a 0 0 ArrayRef ArrayRef a 0 - n 1 ArrayRef ArrayRef a - m 1 0 ArrayRef ArrayRef a - m 1 - n 1 << << cout sum endl End = sum 0 -- k End End,0
453,453,"FileAST FuncDef Decl FuncDecl main int Compound Decl FuncDecl ParamList Decl ArrayDecl ArrayDecl p int 100 100 Decl m int Decl n int sum int Decl N int Decl m int Decl n int Decl ArrayDecl ArrayDecl a int 100 100 InitList 0 Decl i int Decl j int Decl k int Decl s int FuncCall scanf ExprList ""%d"" & n For = k 0 < k n ++ k Compound FuncCall scanf ExprList ""%d%d"" & m & n For = i 0 < i m ++ i For = j 0 < j n ++ j FuncCall scanf ExprList ""%d"" & ArrayRef ArrayRef a i j = s FuncCall sum ExprList a m n FuncCall printf ExprList ""%d\n"" s End Return 0 End Decl FuncDecl ParamList Decl ArrayDecl ArrayDecl p int 100 100 Decl m int Decl n int sum int",0
332,332,FileAST FuncDef Decl FuncDecl main int Compound Decl ArrayDecl ArrayDecl a int 101 101 Decl r int Decl c int Decl j int Decl k int Decl l int Decl m int Decl sum int Decl n int Decl p int >> cin n For = p 1 <= p n ++ p Compound = sum 0 >> cin r >> cin c For DeclList Decl i int 0 < i r ++ i For DeclList Decl j int 0 < j c ++ j >> cin ArrayRef ArrayRef a i j For = j 0 < j r ++ j Compound = sum + sum * * + a j End For = k 1 < k c ++ k Compound = sum + sum * + * - + a r 1 k End For = l - r 2 >= l 0 -- l Compound = sum + sum * - + * + a l c 1 End For = m 1 < m - c 1 ++ m Compound = sum + sum * + * + a 0 m End << << cout sum endl End Return 0 End,0
50,50,"FileAST FuncDef Decl FuncDecl main int Compound Decl year int Decl month int Decl day int Decl a int Decl all int Decl ArrayDecl m1 int 5 Decl ArrayDecl m2 int 5 Decl ArrayDecl m3 int 5 Decl i int For = i 0 <= i 4 ++ i FuncCall scanf ExprList ""%d%d%d"" & ArrayRef m1 i & ArrayRef m2 i & ArrayRef m3 i Return 0 End",0
85,85,"FileAST Decl FuncDecl ParamList Decl year int leapyear int FuncDef Decl FuncDecl main int Compound Decl ArrayDecl a int 12 Decl i int Decl Year int Decl Month int Decl Day int Decl date int 0 FuncCall scanf ExprList ""%d %d %d"" & year & month & day If == FuncCall leapyear ExprList year 1 Compound Decl ArrayDecl a int 12 InitList 31 29 31 30 31 30 31 31 30 31 30 31 For = i 0 < i - month 1 ++ i = date + date ArrayRef a i = date + date day FuncCall printf ExprList ""%d\n"" date End If == FuncCall leapyear ExprList year 0 Compound Decl ArrayDecl a int 12 InitList 31 28 31 30 31 30 31 31 30 31 30 31 For = i 0 < i - month 1 ++ i = date + date ArrayRef a i = date + date day FuncCall printf ExprList ""%d\n"" date End End",0
262,262,FileAST FuncDef Decl FuncDecl main int Compound Decl x int Decl y int Decl z int Decl k int 0 Decl i int >> >> >> cin x y z Decl ArrayDecl a int 12 InitList 31 28 31 30 31 30 31 31 30 31 30 31 Decl ArrayDecl b int 12 InitList 31 29 31 30 31 30 31 31 30 31 30 31 If || && == % x 4 0 != % x 100 0 == % x 400 0 For = i 0 < i - y 1 ++ i = k + k ArrayRef b i = k + k z << cout k Return 0 End,0
104,104,"FileAST FuncDef Decl FuncDecl main int Compound Decl T int Decl n int Decl a int Decl sum int 0 Decl i int FuncCall scanf ExprList ""%d"" & t While -- t Compound FuncCall scanf ExprList ""%d"" & n For = i 0 < i n ++ i Compound FuncCall scanf ExprList ""%d"" & a += sum a End FuncCall printf ExprList ""%d\n"" sum = sum 0 If != t 0 FuncCall printf ExprList ""\n"" End End",0
933,933,,1
935,935,,1
1051,1051,,1
634,634,FileAST FuncDef Decl FuncDecl main int Compound Decl n int Decl ArrayDecl a int 100010 While >> cin n Compound For DeclList Decl i int 0 < i n ++ i >> cin ArrayRef a i FuncCall sort ExprList a + a n << << cout ArrayRef a / n 2 endl End Return 0 End,1
859,859,,1
831,831,,1
594,594,FileAST FuncDef Decl FuncDecl ParamList Decl ArrayDecl ArrayDecl a int 100 Decl m int Decl n int input void Compound For DeclList Decl i int 0 < i m ++ i For DeclList Decl j int 0 < j n ++ j >> cin * + * + a j i End Decl FuncDecl main int,1
